[0.047s] Invoking command in '/home/embedded/ros2_ws/build/rplidar_ros': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --build /home/embedded/ros2_ws/build/rplidar_ros -- -j4 -l4
[0.427s] [  5%] Built target rplidar_client
[0.496s] [ 52%] Built target rplidar_composition
[0.515s] [100%] Built target rplidar_node
[0.582s] Invoked command in '/home/embedded/ros2_ws/build/rplidar_ros' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --build /home/embedded/ros2_ws/build/rplidar_ros -- -j4 -l4
[0.590s] Invoking command in '/home/embedded/ros2_ws/build/rplidar_ros': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --install /home/embedded/ros2_ws/build/rplidar_ros
[0.624s] -- Install configuration: ""
[0.625s] -- Execute custom install script
[0.631s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a1_launch.py
[0.631s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a2m12_launch.py
[0.631s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a2m7_launch.py
[0.631s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a2m8_launch.py
[0.631s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_a3_launch.py
[0.632s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_c1_launch.py
[0.634s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s1_launch.py
[0.634s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s1_tcp_launch.py
[0.634s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s2_launch.py
[0.634s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s2e_launch.py
[0.635s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_s3_launch.py
[0.635s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/rplidar_t1_launch.py
[0.635s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a1_launch.py
[0.635s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a2m12_launch.py
[0.635s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a2m7_launch.py
[0.635s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a2m8_launch.py
[0.637s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_a3_launch.py
[0.637s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_c1_launch.py
[0.637s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s1_launch.py
[0.637s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s1_tcp_launch.py
[0.638s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s2_launch.py
[0.638s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s2e_launch.py
[0.640s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_s3_launch.py
[0.641s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/launch/view_rplidar_t1_launch.py
[0.641s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/rviz/rplidar_ros.rviz
[0.641s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/lib/rplidar_ros/rplidar_node
[0.644s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/lib/rplidar_ros/rplidar_composition
[0.644s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/lib/rplidar_ros/rplidar_client
[0.644s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/ament_index/resource_index/package_run_dependencies/rplidar_ros
[0.646s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/ament_index/resource_index/parent_prefix_path/rplidar_ros
[0.650s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/environment/ament_prefix_path.sh
[0.650s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/environment/ament_prefix_path.dsv
[0.651s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/environment/path.sh
[0.651s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/environment/path.dsv
[0.651s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/local_setup.bash
[0.651s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/local_setup.sh
[0.652s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/local_setup.zsh
[0.652s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/local_setup.dsv
[0.652s] -- Symlinking: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/package.dsv
[0.697s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/ament_index/resource_index/packages/rplidar_ros
[0.697s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/cmake/ament_cmake_export_dependencies-extras.cmake
[0.698s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/cmake/ament_cmake_export_include_directories-extras.cmake
[0.699s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/cmake/rplidar_rosConfig.cmake
[0.701s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/cmake/rplidar_rosConfig-version.cmake
[0.701s] -- Up-to-date symlink: /home/embedded/ros2_ws/install/rplidar_ros/share/rplidar_ros/package.xml
[0.713s] Invoked command in '/home/embedded/ros2_ws/build/rplidar_ros' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy /usr/bin/cmake --install /home/embedded/ros2_ws/build/rplidar_ros
